name,yield_rate,change,change_percent,time,source_url,fetched_at
美国10年期国债,4.439,-0.044,-0.98%,16:23:33,https://cn.investing.com/rates-bonds/u.s.-10-year-bond-yield,2026-06-15T16:23:45+08:00
美国2年期国债,4.041,-0.044,-1.08%,16:19:26,https://cn.investing.com/rates-bonds/u.s.-2-year-bond-yield,2026-06-15T16:23:46+08:00
